"file" "checksum" "built" "date"
"CODE_OF_CONDUCT.md" "c93c83c630db2fe2462240bf72552548" "site/built/CODE_OF_CONDUCT.md" "2023-09-25"
"LICENSE.md" "b24ebbb41b14ca25cf6b8216dda83e5f" "site/built/LICENSE.md" "2023-09-25"
"config.yaml" "c12781783cef7cfc82287c872dd2785b" "site/built/config.yaml" "2024-01-26"
"index.md" "1ae4ba399aa03efe0d5e4fc8d0fd8478" "site/built/index.md" "2024-01-26"
"episodes/01-basics.md" "31f60f1f17daa4cb4d919d0902ffbc7f" "site/built/01-basics.md" "2023-09-25"
"episodes/01a-shell-filedir.md" "bb82c1d38a886d23d7dda138e1258bc1" "site/built/01a-shell-filedir.md" "2024-01-26"
"episodes/01b-shell-create.md" "3e03cf7174ebce6b5574e3d7abce8c00" "site/built/01b-shell-create.md" "2024-01-26"
"episodes/02-setup.md" "8364695ec9a1d72c113b5e47d8f68e60" "site/built/02-setup.md" "2024-01-26"
"episodes/03-create.md" "71ecac31584de67d34435922a6bb6965" "site/built/03-create.md" "2024-01-26"
"episodes/04-changes.md" "ca05eaa3a689bbe6832210f6a663edcd" "site/built/04-changes.md" "2024-01-26"
"episodes/05-history.md" "5553b59d522fabeb076e794fb1c82de9" "site/built/05-history.md" "2024-01-26"
"episodes/06-ignore.md" "0683eb66e0a84b5297827704a1010c7b" "site/built/06-ignore.md" "2023-09-25"
"episodes/07-github.md" "76be3c6641d45b04e5ea3bfcf3214880" "site/built/07-github.md" "2023-09-25"
"episodes/07b-github-pages.md" "13558a6b19de284d0bfb5be35b17ebf4" "site/built/07b-github-pages.md" "2024-01-26"
"episodes/08-collab.md" "347a68a0055bbc0dc9fa070c7439dc38" "site/built/08-collab.md" "2024-01-26"
"episodes/09-conflict.md" "a6c7d97ff7b518a919148997815d3597" "site/built/09-conflict.md" "2024-01-26"
"instructors/instructor-notes.md" "8711174c9d3e1f433cdcf9b30cd571d9" "site/built/instructor-notes.md" "2023-09-25"
"learners/discuss.md" "8893316c5cf0dee6a42dd818f6e21122" "site/built/discuss.md" "2023-09-25"
"learners/reference.md" "d976a57639fa49361d9c8431850cde6a" "site/built/reference.md" "2023-09-25"
"learners/setup.md" "60f9012092d503a4e896ab07d89e6383" "site/built/setup.md" "2024-01-26"
"profiles/learner-profiles.md" "60b93493cf1da06dfd63255d73854461" "site/built/learner-profiles.md" "2023-09-25"
